timesteps,GBR,IRL
2015-01-01 00:00:00,2.753337,3.01915
2015-01-01 01:00:00,2.7692866,3.0220046
2015-01-01 02:00:00,2.7872205,3.0229921
2015-01-01 03:00:00,2.8068173,3.0266662
2015-01-01 04:00:00,2.8266332,3.0355883
2015-01-01 05:00:00,2.8445885,3.052782
2015-01-01 06:00:00,2.856703,3.0744386
2015-01-01 07:00:00,2.8692937,3.093287
2015-01-01 08:00:00,2.8891256,3.1106696
2015-01-01 09:00:00,2.9167304,3.1282547
2015-01-01 10:00:00,2.9486105,3.1446207
2015-01-01 11:00:00,2.9762886,3.160249
2015-01-01 12:00:00,2.9971673,3.1798477
2015-01-01 13:00:00,3.011272,3.1955779
2015-01-01 14:00:00,3.0210483,3.2010186
2015-01-01 15:00:00,3.0252907,3.1976914
2015-01-01 16:00:00,3.0298598,3.190468
2015-01-01 17:00:00,3.039113,3.181578
2015-01-01 18:00:00,3.0479476,3.1630843
2015-01-01 19:00:00,3.0535982,3.1132867
2015-01-01 20:00:00,3.05673,3.0326285
2015-01-01 21:00:00,3.0595279,2.9497118
2015-01-01 22:00:00,3.0605385,2.8703055
2015-01-01 23:00:00,3.0502443,2.7888224
2015-01-02 00:00:00,3.0200317,2.7115483
2015-01-02 01:00:00,2.9756863,2.6637166
2015-01-02 02:00:00,2.9212415,2.6252537
2015-01-02 03:00:00,2.8654544,2.593184
2015-01-02 04:00:00,2.8049607,2.565878
2015-01-02 05:00:00,2.7453768,2.5376596
2015-01-02 06:00:00,2.6972566,2.5086045
2015-01-02 07:00:00,2.6564863,2.4737651
2015-01-02 08:00:00,2.6216812,2.4352155
2015-01-02 09:00:00,2.6375294,2.438031
2015-01-02 10:00:00,2.6971302,2.5005505
2015-01-02 11:00:00,2.7504716,2.5802379
2015-01-02 12:00:00,2.77277,2.6541467
2015-01-02 13:00:00,2.7660427,2.687097
2015-01-02 14:00:00,2.7253609,2.664487
2015-01-02 15:00:00,2.6037931,2.6209638
2015-01-02 16:00:00,2.4651394,2.5640147
2015-01-02 17:00:00,2.4148414,2.5486336
2015-01-02 18:00:00,2.4081526,2.561883
2015-01-02 19:00:00,2.3961654,2.568879
2015-01-02 20:00:00,2.3754954,2.5739408
2015-01-02 21:00:00,2.3777401,2.5757442
2015-01-02 22:00:00,2.4068797,2.5692155
2015-01-02 23:00:00,2.417697,2.5562947
2015-01-03 00:00:00,2.4134605,2.543759
2015-01-03 01:00:00,2.4077814,2.5362918
2015-01-03 02:00:00,2.4150398,2.5319288
2015-01-03 03:00:00,2.4250212,2.514117
2015-01-03 04:00:00,2.4250436,2.4931636
2015-01-03 05:00:00,2.413183,2.4692497
2015-01-03 06:00:00,2.4058745,2.4548786
2015-01-03 07:00:00,2.404409,2.454048
2015-01-03 08:00:00,2.4165485,2.4463987
2015-01-03 09:00:00,2.4490952,2.4313653
2015-01-03 10:00:00,2.5003402,2.4360232
2015-01-03 11:00:00,2.5425668,2.4837122
2015-01-03 12:00:00,2.5725057,2.5341733
2015-01-03 13:00:00,2.5885842,2.5649965
2015-01-03 14:00:00,2.5711455,2.562221
2015-01-03 15:00:00,2.4853635,2.508686
2015-01-03 16:00:00,2.3926132,2.4424162
2015-01-03 17:00:00,2.3368316,2.427831
2015-01-03 18:00:00,2.3024588,2.4134867
2015-01-03 19:00:00,2.274793,2.4089584
2015-01-03 20:00:00,2.2540317,2.398845
2015-01-03 21:00:00,2.2369325,2.3865535
2015-01-03 22:00:00,2.2253606,2.3777258
2015-01-03 23:00:00,2.2180836,2.367204
2015-01-04 00:00:00,2.2085733,2.3739495
2015-01-04 01:00:00,2.1973917,2.387005
2015-01-04 02:00:00,2.1870475,2.3982766
2015-01-04 03:00:00,2.1788578,2.4081242
2015-01-04 04:00:00,2.1738942,2.4193637
2015-01-04 05:00:00,2.1736655,2.4363296
2015-01-04 06:00:00,2.1710062,2.4617674
2015-01-04 07:00:00,2.1700904,2.4946878
2015-01-04 08:00:00,2.1702724,2.530765
2015-01-04 09:00:00,2.193375,2.599741
2015-01-04 10:00:00,2.255669,2.676269
2015-01-04 11:00:00,2.3187094,2.7344465
2015-01-04 12:00:00,2.3839703,2.7753227
2015-01-04 13:00:00,2.4103975,2.7967467
2015-01-04 14:00:00,2.370883,2.8018923
2015-01-04 15:00:00,2.2748485,2.792183
2015-01-04 16:00:00,2.2572844,2.77919
2015-01-04 17:00:00,2.2700224,2.7829356
2015-01-04 18:00:00,2.2852502,2.787818
2015-01-04 19:00:00,2.3053331,2.7909586
2015-01-04 20:00:00,2.330355,2.7931373
2015-01-04 21:00:00,2.3576987,2.7907894
2015-01-04 22:00:00,2.388083,2.7918916
2015-01-04 23:00:00,2.414595,2.8028374
2015-01-05 00:00:00,2.437676,2.8223312
2015-01-05 01:00:00,2.4567246,2.8479235
2015-01-05 02:00:00,2.479721,2.8808298
2015-01-05 03:00:00,2.501277,2.902314
2015-01-05 04:00:00,2.5153282,2.912694
2015-01-05 05:00:00,2.5305798,2.9164293
2015-01-05 06:00:00,2.5523572,2.9122124
2015-01-05 07:00:00,2.5776198,2.9116845
2015-01-05 08:00:00,2.612007,2.9185061
2015-01-05 09:00:00,2.6725895,2.940306
2015-01-05 10:00:00,2.7309203,2.9752119
2015-01-05 11:00:00,2.7838292,2.9963796
2015-01-05 12:00:00,2.8267143,3.0058107
2015-01-05 13:00:00,2.849947,3.0067623
2015-01-05 14:00:00,2.8492122,2.9991071
2015-01-05 15:00:00,2.8312259,2.9827793
2015-01-05 16:00:00,2.8188004,2.9630601
2015-01-05 17:00:00,2.8171356,2.9514554
2015-01-05 18:00:00,2.8108122,2.9433942
2015-01-05 19:00:00,2.8032596,2.9337935
2015-01-05 20:00:00,2.7961607,2.919615
2015-01-05 21:00:00,2.7868164,2.9025667
2015-01-05 22:00:00,2.7768548,2.878795
2015-01-05 23:00:00,2.7732222,2.8456793
2015-01-06 00:00:00,2.771375,2.8049595
2015-01-06 01:00:00,2.771426,2.755767
2015-01-06 02:00:00,2.7720442,2.6962688
2015-01-06 03:00:00,2.77377,2.6148093
2015-01-06 04:00:00,2.7824113,2.5210774
